,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
853,Amazon,"Vancouver, BC, Canada", 2/16/20,L5 SDM,Web Development (Front-End),,"$116,000"
854,GoDaddy,"Kirkland, WA", 2/15/20,Director of Engineering,Full Stack,,"$375,000"
855,Microsoft,"Redmond, WA", 2/15/20,66,Distributed Systems (Back-End),,"$365,000"
856,Facebook,"Menlo Park, CA", 2/15/20,D1,Networking,,"$1,200,000"
857,Goldman Sachs,"New York, NY", 2/15/20,Vice President,Full Stack,,"$270,000"
858,Flipkart,"Bangalore, KA, India", 2/15/20,Tech Lead,Distributed Systems (Back-End),,"$166,000"
859,Qualcomm,"San Diego, CA", 2/15/20,Senior Staff Eng,Testing (SDET),,"$302,000"
860,NetApp,"Wichita, KS", 2/15/20,MTS IV,Security,,"$141,000"
861,Twitter,"San Francisco, CA", 2/15/20,Staff SWE,Full Stack,,"$377,000"
862,Splunk,"London, EN, United Kingdom", 2/15/20,M3,Site Reliability (SRE),,"$246,000"
863,Capital One,"Vienna, VA", 2/15/20,Manager,API Development (Back-End),,"$180,000"
864,Amazon,"Seattle, WA", 2/15/20,L6,API Development (Back-End),,"$272,000"
865,JPMorgan Chase,"London, EN, United Kingdom", 2/15/20,Vice President,Full Stack,,"$178,000"
866,Google,"Mountain View, CA", 2/15/20,L8,Full Stack,,"$1,050,000"
867,Morgan Stanley,"Bengaluru, KA, India", 2/15/20,Manager,Web Development (Front-End),,"$30,000"
868,Salesforce,"Burlington, MA", 2/15/20,Senior Manager,Testing (SDET),,"$270,000"
869,Spotify,"Stockholm, ST, Sweden", 2/15/20,Engineering Manager,Mobile (iOS + Android),,"$90,000"
870,Agoda,"Bangkok, BM, Thailand", 2/14/20,Senior,Distributed Systems (Back-End),,"$155,000"
871,Atlassian,"Sydney, NS, Australia", 2/14/20,M3,API Development (Back-End),,"$177,000"
872,Amazon,"Seattle, WA", 2/14/20,L6,Distributed Systems (Back-End),,"$445,000"
873,Microsoft,"St. Louis, MO", 2/14/20,64,Security,,"$292,000"
874,Cloudera,"Palo Alto, CA", 2/14/20,L6,Full Stack,,"$400,000"
875,Comcast,"Philadelphia, PA", 2/14/20,L5,Mobile (iOS + Android),,"$196,000"
876,Goldman Sachs,"New York, NY", 2/13/20,Executive Director / Vice-President,Full Stack,,"$310,000"
877,Amazon,"Los Angeles, CA", 2/13/20,L6 SDM,Full Stack,,"$345,000"
878,Credit Karma,"San Francisco, CA", 2/13/20,Director,DevOps,,"$471,000"
879,Bloomberg,"New York, NY", 2/12/20,Manager,Distributed Systems (Back-End),,"$375,000"
880,Walmart Labs,"Bentonville, AR", 2/12/20,Principal Software Engineer,DevOps,,"$210,000"
881,Intuit,"Mountain View, CA", 2/12/20,Director,Distributed Systems (Back-End),,"$555,000"
882,Oracle,"Pleasanton, CA", 2/12/20,M3,API Development (Back-End),,"$210,000"
883,Google,"Seattle, WA", 2/11/20,L5,Site Reliability (SRE),,"$270,000"
884,Publicis sapient,"Chicago, IL", 2/11/20,Director,Full Stack,,"$250,000"
885,athenahealth,"Boston, MA", 2/11/20,Senior Engineering Manager,Full Stack,,"$195,000"
886,Spotify,"New York, NY", 2/10/20,M2,Full Stack,,"$270,000"
887,Shopify,"Toronto, ON, Canada", 2/10/20,L7,Web Development (Front-End),,"$550,000"
888,Epic Systems,"Madison, WI", 2/10/20,Software Developer II,Full Stack,,"$153,000"
889,Google,"Mountain View, CA", 2/10/20,L6,Distributed Systems (Back-End),,"$483,000"
890,GOLDMAN SACHS,"New York, N",| 2/9/20,Vice president,Distributed Systems (Back-End),,"$170,000"
891,Netflix,"Los Altos, C",| 2/9/20,M1,Distributed Systems (Back-End),,"$550,000"
892,Autodesk,"San Francisco, C",| 2/8/20,Grade 14,ML / AI,,"$310,000"
893,Tesla,"Palo Alto, C",| 2/7/20,M2,Distributed Systems (Back-End),,"$672,000"
894,Amazon,"Herndon, V",| 2/7/20,6,Distributed Systems (Back-End),,"$240,000"
895,Microsoft,"Redmond, W",| 2/7/20,66,ML / AI,,"$352,000"
896,Amazon,"San Francisco, C",| 2/6/20,L6 SDM,Full Stack,,"$435,000"
897,Yahoo,"Sunnyvale, C",| 2/6/20,Principal Software Engineer,Distributed Systems (Back-End),,"$419,000"
898,Amazon,"Sunnyvale, C",| 2/6/20,L7,Distributed Systems (Back-End),,"$440,000"
899,Microsoft,"Seattle, W",| 2/6/20,63,API Development (Back-End),,"$235,000"
900,Comcast,"Philadelphia, P",| 2/6/20,D2,API Development (Back-End),,"$248,000"
901,Amazon,"Berlin, BE, German",| 2/6/20,L5 SDM,Full Stack,,"$121,000"
902,Amazon,"Seattle, W",| 2/6/20,L6 SDM,Security,,"$300,000"
903,Capital one,"Mc Lean, V",| 2/6/20,Master,DevOps,,"$185,000"
904,Procore,"New York, N",| 2/5/20,Engineering Manager,Management,,"$165,000"
905,Autodesk,"San Francisco, C",| 2/5/20,Grade 13,DevOps,,"$185,000"
906,Apple,"Sunnyvale, C",| 2/5/20,M1,Distributed Systems (Back-End),,"$310,000"
907,Tableau Software,"Seattle, W",| 2/5/20,Manager,Full Stack,,"$400,000"
908,OYO,"Gurgaon, HR, Indi",| 2/5/20,4B,API Development (Back-End),,"$100,000"
909,Microsoft,"Seattle, W",| 2/5/20,67,ML / AI,,"$550,000"
910,Intel,"Santa Clara, C",| 2/4/20,Grade 10,Software Engieer,,"$370,000"
911,Yahoo,"Los Angeles, C",| 2/4/20,M4,DevOps,,"$281,000"
